name	mro	roles_direct	roles_all
X::Syntax::Name::Null	X::Syntax::Name::Null,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::NegatedPair	X::Syntax::NegatedPair,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::NoSelf	X::Syntax::NoSelf,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::NonAssociative	X::Syntax::NonAssociative,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::NonListAssociative	X::Syntax::NonListAssociative,X::Syntax::NonAssociative,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp,X::Syntax,X::Comp
X::Syntax::Number::IllegalDecimal	X::Syntax::Number::IllegalDecimal,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::Number::LiteralType	X::Syntax::Number::LiteralType,X::TypeCheck::Assignment,X::TypeCheck,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::Number::RadixOutOfRange	X::Syntax::Number::RadixOutOfRange,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::P5	X::Syntax::P5,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::ParentAsHash	X::Syntax::ParentAsHash,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::Perl5Var	X::Syntax::Perl5Var,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::Pod::BeginWithDirective	X::Syntax::Pod::BeginWithDirective,Exception,Any,Mu	X::Pod,X::Syntax	X::Pod,X::Syntax,X::Comp
X::Syntax::Pod::BeginWithoutEnd	X::Syntax::Pod::BeginWithoutEnd,Exception,Any,Mu	X::Pod,X::Syntax	X::Pod,X::Syntax,X::Comp
X::Syntax::Pod::BeginWithoutIdentifier	X::Syntax::Pod::BeginWithoutIdentifier,Exception,Any,Mu	X::Pod,X::Syntax	X::Pod,X::Syntax,X::Comp
X::Syntax::Pod::DeclaratorLeading	X::Syntax::Pod::DeclaratorLeading,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::Pod::DeclaratorTrailing	X::Syntax::Pod::DeclaratorTrailing,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::Regex::Adverb	X::Syntax::Regex::Adverb,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::Regex::Alias::LongName	X::Syntax::Regex::Alias::LongName,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::Regex::InsignificantWhitespace	X::Syntax::Regex::InsignificantWhitespace,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::Regex::MalformedRange	X::Syntax::Regex::MalformedRange,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::Regex::NonQuantifiable	X::Syntax::Regex::NonQuantifiable,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::Regex::NullRegex	X::Syntax::Regex::NullRegex,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::Regex::QuantifierValue	X::Syntax::Regex::QuantifierValue,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::Regex::SolitaryBacktrackControl	X::Syntax::Regex::SolitaryBacktrackControl,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::Regex::SolitaryQuantifier	X::Syntax::Regex::SolitaryQuantifier,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::Regex::SpacesInBareRange	X::Syntax::Regex::SpacesInBareRange,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::Regex::UnrecognizedMetachar	X::Syntax::Regex::UnrecognizedMetachar,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::Regex::UnrecognizedModifier	X::Syntax::Regex::UnrecognizedModifier,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::Regex::Unspace	X::Syntax::Regex::Unspace,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::Regex::Unterminated	X::Syntax::Regex::Unterminated,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::Reserved	X::Syntax::Reserved,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::Self::WithoutObject	X::Syntax::Self::WithoutObject,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::Signature::InvocantMarker	X::Syntax::Signature::InvocantMarker,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::Signature::InvocantNotAllowed	X::Syntax::Signature::InvocantNotAllowed,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::Term::MissingInitializer	X::Syntax::Term::MissingInitializer,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::Type::Adverb	X::Syntax::Type::Adverb,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::UnlessElse	X::Syntax::UnlessElse,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::Variable::BadType	X::Syntax::Variable::BadType,Exception,Any,Mu	X::BadType,X::Comp	X::BadType,X::Comp
X::Syntax::Variable::ConflictingTypes	X::Syntax::Variable::ConflictingTypes,Exception,Any,Mu	X::Comp	X::Comp
X::Syntax::Variable::IndirectDeclaration	X::Syntax::Variable::IndirectDeclaration,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::Variable::Initializer	X::Syntax::Variable::Initializer,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::Variable::Match	X::Syntax::Variable::Match,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::Variable::MissingInitializer	X::Syntax::Variable::MissingInitializer,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::Variable::Numeric	X::Syntax::Variable::Numeric,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::Variable::SignatureAssignment	X::Syntax::Variable::SignatureAssignment,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::Variable::SignatureWithoutInitializer	X::Syntax::Variable::SignatureWithoutInitializer,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::Variable::Twigil	X::Syntax::Variable::Twigil,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::VirtualCall	X::Syntax::VirtualCall,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Syntax::WithoutElse	X::Syntax::WithoutElse,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Temporal::InvalidFormat	X::Temporal::InvalidFormat,Exception,Any,Mu	X::Temporal	X::Temporal
X::Temporal::OutOfRange	X::Temporal::OutOfRange,X::OutOfRange,Exception,Any,Mu	X::Temporal	X::Temporal
X::TooLateForREPR	X::TooLateForREPR,X::Comp,Exception,Any,Mu	X::Comp	X::Comp,X::Comp
X::TooManyDimensions	X::TooManyDimensions,Exception,Any,Mu		
X::Trait::Invalid	X::Trait::Invalid,Exception,Any,Mu	X::Trait	X::Trait
X::Trait::NotOnNative	X::Trait::NotOnNative,Exception,Any,Mu	X::Trait	X::Trait
X::Trait::Scope	X::Trait::Scope,Exception,Any,Mu	X::Trait	X::Trait
X::Trait::Unknown	X::Trait::Unknown,Exception,Any,Mu	X::Trait	X::Trait
X::TypeCheck	X::TypeCheck,Exception,Any,Mu		
X::TypeCheck::Argument	X::TypeCheck::Argument,X::TypeCheck,Exception,Any,Mu		
X::TypeCheck::Assignment	X::TypeCheck::Assignment,X::TypeCheck,Exception,Any,Mu		
X::TypeCheck::Attribute::Default	X::TypeCheck::Attribute::Default,X::TypeCheck,Exception,Any,Mu	X::Comp	X::Comp
X::TypeCheck::Binding	X::TypeCheck::Binding,X::TypeCheck,Exception,Any,Mu		
X::TypeCheck::Binding::Parameter	X::TypeCheck::Binding::Parameter,X::TypeCheck::Binding,X::TypeCheck,Exception,Any,Mu		
X::TypeCheck::Return	X::TypeCheck::Return,X::TypeCheck,Exception,Any,Mu		
X::TypeCheck::Splice	X::TypeCheck::Splice,X::TypeCheck,Exception,Any,Mu	X::Comp	X::Comp
X::Undeclared	X::Undeclared,Exception,Any,Mu	X::Comp	X::Comp
X::Undeclared::Symbols	X::Undeclared::Symbols,Exception,Any,Mu	X::Comp	X::Comp
X::UnitScope::Invalid	X::UnitScope::Invalid,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::UnitScope::MustHaveUnit	X::UnitScope::MustHaveUnit,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::UnitScope::TooLate	X::UnitScope::TooLate,Exception,Any,Mu	X::Syntax	X::Syntax,X::Comp
X::Useless::Declaration	X::Useless::Declaration,Exception,Any,Mu	X::Comp	X::Comp
X::Value::Dynamic	X::Value::Dynamic,Exception,Any,Mu	X::Comp	X::Comp
X::WheneverOutOfScope	X::WheneverOutOfScope,Exception,Any,Mu		
X::Worry	X::Worry,Exception,Any,Mu		
X::Worry::P5	X::Worry::P5,X::Worry,Exception,Any,Mu		
X::Worry::P5::BackReference	X::Worry::P5::BackReference,X::Worry::P5,X::Worry,Exception,Any,Mu		
X::Worry::P5::LeadingZero	X::Worry::P5::LeadingZero,X::Worry::P5,X::Worry,Exception,Any,Mu		
X::Worry::P5::Reference	X::Worry::P5::Reference,X::Worry::P5,X::Worry,Exception,Any,Mu		
X::Worry::Precedence::Range	X::Worry::Precedence::Range,X::Worry,Exception,Any,Mu		
